compFull_ENG,prime_compFull_ENG,prime_compRight_ENG,prime_exp_ENG,ans_ENG,compFull_POL,prime_compFull_POL,prime_compRight_POL,prime_exp_POL,ans_POL,comp_POL_prac,prime_exp_POL_prac
airport,plane,trade,plane,left,bawidamek,podryw,suknia,podryw,left,warta,murek
babysitter,parent,chair,parent,left,chwalipięta,duma,palec,duma,left,noga,stopa
countryside,city,top,top,left,hulajdusza,radość,czyściec,radość,left,auto,marka
daredevil,risk,hell,hell,left,jęczydusza,nuda,piekło,nuda,left,igła,nitka
database,computer,army,army,left,liczykrupa,banknot,kasza,kasza,left,talerz,obrus
laptop,computer,bottom,bottom,left,mąciwoda,zamęt,rekin,zamęt,left,stołek,pubros
nightmare,dream,cow,cow,left,męczydusza,trudność,piekło,piekło,left,konik,remuk
paperback,book,neck,book,left,męczywół,trudność,krowa,trudność,left,szachy,ponak
photograph,painting,chart,painting,left,obieżyświat,podróż,Ziemia,podróż,left,hamak,bumak
rainbow,color,sword,sword,left,odrzyskóra,oszust,ciało,ciało,left,karka,jatek
riverbank,sand,money,money,left,paliwoda,kłamstwo,kropla,kropla,left,,
screwdriver,hammer,car,hammer,left,pasibrzuch,grubas,plecy,grubas,left,,
seaside,vacation,top,vacation,left,pędziwiatr,szybkość,burza,burza,left,,
snapshot,photo,gun,gun,left,skąpiradło,pieniądz,pole,pieniądz,left,,
soundtrack,music,race,race,left,szarpidrut,muzyk,nici,nici,left,,
staircase,hallway,box,box,left,trzęsiportek,trwoga,spodnie,spodnie,left,,
timetable,train,chair,chair,left,waligóra,siłacz,wzgórze,wzgórze,left,,
viewpoint,idea,line,line,left,wiercipięta,niepokój,palec,niepokój,left,,
waterproof,jacket,truth,jacket,left,włóczykij,tułacz,laska,tułacz,left,,
woodwork,hammer,job,job,left,wyrwidąb,siłacz,korzeń,korzeń,left,,
oberation,,,doctor,right,wajwa,,,kaczka,right,,
inspeltion,,,check,right,knezik,,,bambus,right,,
helicomter,,,plane,right,czaba,,,belka,right,,
jepdyfish,,,car,right,tychwa,,,łyżka,right,,
factomy,,,shop,right,lobakt,,,miska,right,,
oplosite,,,bomb,right,makras,,,piasek,right,,
tocumant,,,paper,right,belik,,,bajka,right,,
antronaut,,,pen,right,szabrys,,,szafa,right,,
darection,,,car,right,memok,,,nocnik,right,,
inpasion,,,question,right,orbik,,,domek,right,,
chindren,,,mother,right,dukalt,,,balkon,right,,
edectric,,,light,right,presak,,,nuda,right,,
monitod,,,computer,right,bekor,,,stojak,right,,
firection,,,left,right,kapik,,,barka,right,,
combition,,,air,right,bukas,,,ciotka,right,,
pressurt,,,pipe,right,klektet,,,szalik,right,,
abvance,,,ahead,right,żubar,,,rogal,right,,
ragister,,,money,right,agot,,,słoik,right,,
financt,,,bank,right,germer,,,stanik,right,,
redigion,,,church,right,żarka,,,torba,right,,
anspire,,,king,right,pektas,,,czaszka,right,,
blavour,,,salt,right,ukalt,,,nuta,right,,
fadness,,,happy,right,żarmo,,,fartuch,right,,
plastey,,,green,right,basat,,,szafa,right,,
plitcher,,,milk,right,ginka,,,beczka,right,,
prottle,,,car,right,lektas,,,ulga,right,,
swoater,,,shirt,right,sinek,,,aspekt,right,,
motebook,,,paper,right,radmo,,,murek,right,,
tandle,,,fire,right,ateks,,,łyżka,right,,
meather,,,white,right,birka,,,dżungla,right,,
flunder,,,rain,right,salmo,,,żeton,right,,
